"","x"
"1",0.0982959507562356
"2",0.167738800844492
"3",0.0985655437548111
"4",0.121464808196172
"5",0.0420284320765009
"6",0.0596214036106302
"7",0.0488638193848149
"8",0.0431778614941335
"9",0.0733752309663835
"10",0.058471318454473
"11",0.0498031513638636
"12",0.0336326372524155
"13",0.0764789952981592
"14",0.0700204900438935
"15",0.0515466675023605
"16",0.0456999826377814
"17",0.058606783140462
"18",0.190295620470055
"19",0.0610132381393907
"20",0.048072149885873
"21",0.0439944857176411
"22",0.0536919928216186
"23",0.0434807872556622
"24",0.0875908914293101
"25",0.0534846384904275
"26",0.0480977234905639
"27",0.0326658065262511
"28",0.0617384949319301
"29",0.054512583007583
"30",0.0890982184366765
"31",0.0550008481949959
"32",0.0799963705986254
"33",0.10790915274533
"34",0.0845093682429934
"35",0.0807146460639554
"36",0.121766822324401
"37",0.214838561704656
"38",0.283286103637346
"39",0.496472221871246
"40",0.109954823161017
"41",0.0979964972314031
"42",0.0743429827256647
"43",0.117438105975097
"44",0.336258696796971
"45",0.0994537503776503
"46",0.195481703067383
"47",0.417167858555094
"48",0.106256014181629
"49",0.0557988923662002
"50",0.0529931701532407
"51",0.0794107841421834
"52",0.0561695847871609
"53",0.0529931701532407
"54",0.0843581185517395
"55",0.0423968152759941
"56",0.0682114405329932
"57",0.0229708917491489
"58",0.0342919645835609
"59",0.0751456239517257
"60",0.118866718786901
"61",0.0882327500614045
"62",0.0655563256950216
"63",0.0573060006488582
"64",0.041108806682477
"65",0.106872515143202
"66",0.092798374164391
"67",0.0774294116009972
"68",0.0675093588822317
"69",0.20006410287481
"70",0.0464694273645086
"71",0.0458191467179209
"72",0.129179234792379
"73",0.118145591575318
"74",0.106828826375508
"75",0.0872433778023662
"76",0.0333706297988337
"77",0.02711075659732
"78",0.0274895415327593
"79",0.0564496989222645
"80",0.0548066090493017
"81",0.119557579220547
"82",0.133358704987742
"83",0.0989813242339545
"84",0.0638941583435969
"85",0.0575652419034108
"86",0.0717736825493568
"87",0.0699469669063326
"88",0.0810607045540716
"89",0.0728590381567815
"90",0.0711488337786132
"91",0.0915655696645867
"92",0.0581406591644465
"93",0.0535995300156633
"94",0.0726369344998823
"95",0.0646064090558476
"96",0.0639429384013759
"97",0.0782752414105427
"98",0.178101763034445
"99",0.149520937384637
"100",0.149569717442416
"101",0.164342511066806
"102",0.154075134486522
"103",0.0705542764805032
"104",0.0719160224154077
"105",0.0702337363256963
"106",0.0463918758941196
"107",0.0644924902087907
"108",0.0477275233271776
"109",0.0643639065585158
"110",0.0713488608651136
"111",0.102967520236721
"112",0.091517335999893
"113",0.0762291318044493
"114",0.201404155407008
"115",0.207843559900081
"116",0.0644740667254129
"117",0.0852689082030333
"118",0.0678068208913914
"119",0.0640919826652103
"120",0.164572000818297
"121",0.183778659861311
"122",0.205057339802183
"123",0.0733852249559543
"124",0.0596107722383727
"125",0.0453765099284945
"126",0.0676601523044279
"127",0.103906783490907
"128",0.0586453019013694
"129",0.0840662162170116
"130",0.0585053775337149
"131",0.0593802821427619
"132",0.0790333370883579
"133",0.0630920385308727
"134",0.0871494720605961
"135",0.0920822371970485
"136",0.081800372419408
"137",0.0509667107740065
"138",0.0549962703884317
"139",0.0429237634300101
"140",0.0651097213852186
"141",0.065204827644479
"142",0.0817564710675227
"143",0.0817564710675227
"144",0.0765683105787863
"145",0.0704408199326229
"146",0.0919409270705465
"147",0.0650744140159226
"148",0.0709736335272121
"149",0.0481711566975975
"150",0.0529868186691019
"151",0.069552254997021
"152",0.0515035011752213
"153",0.0909861167474923
"154",0.103281798758748
"155",0.13622532373571
"156",0.0851354233519523
"157",0.0462460763331487
"158",0.0826314646526056
"159",0.0866015212444842
"160",0.116730759520509
"161",0.0916246632167533
"162",0.0659202745432208
"163",0.0625285718367733
"164",0.0915798709868083
"165",0.0554537892915718
"166",0.104214448526494
"167",0.0624996705517713
"168",0.125479733680309
"169",0.0727226321712655
"170",0.101977495353199
"171",0.0994559693138109
"172",0.052130949230549
"173",0.0317211045042965
"174",0.0711717309327573
"175",0.194095988055307
"176",0.12344888090437
"177",0.050356659643722
"178",0.162701861636133
"179",0.0743782101064488
"180",0.0831646736572894
"181",0.0877429113946939
"182",0.089657456701075
"183",0.0930128293375393
"184",0.0867212625229549
"185",0.0930128293375393
"186",0.0890261295560376
"187",0.121520508168484
"188",0.0574751264724633
"189",0.105427700638491
"190",0.0723261494441152
"191",0.0986843573697123
"192",0.380779843538187
"193",0.131914828056684
"194",0.06546031192556
"195",0.0776174322305143
"196",0.139133072034149
"197",0.112044435061542
"198",0.176326306247575
"199",0.0752625419993906
"200",0.0634178894023738
"201",0.0649076392822022
"202",0.0716764774280069
"203",0.124477571558799
"204",0.0550849078997581
"205",0.246794020183867
"206",0.0819051662591694
"207",0.0438908062915616
"208",0.136071408476874
"209",0.125597536046944
"210",0.0747281144330822
"211",0.196367179540829
"212",0.0807587627741714
"213",0.133840217461594
"214",0.164717744488411
"215",0.0797640038792847
